,ds,iOS,iOS_pi_lower,iOS_pi_upper,web,web_pi_lower,web_pi_upper,Android,Android_pi_lower,Android_pi_upper,mobile_web,mobile_web_pi_lower,mobile_web_pi_upper,Total,Total_pi_lower,Total_pi_upper
27,2018-03-05,57726.88289953647,50821.070539143206,65030.618238703406,89542.28278222347,71371.55411540675,105690.36976788267,24703.385147490655,22184.19434748419,27439.590415032366,25291.734333290795,21885.276516903596,28700.85362187195,197264.2851625414,166262.09551893774,226861.4320434904
28,2018-03-06,57838.89799523887,50839.18569940408,64978.693836585386,90993.87863241686,73441.52245626278,107677.16055253037,25101.509269867256,22557.00264169182,27647.90223307947,25563.801856151193,22392.893254718765,28970.818160798208,199498.0877536742,169230.60405207745,229274.57478299344
29,2018-03-07,57945.01595708294,51027.54068290756,65018.821758926206,92015.65022166303,75034.11175071321,108728.0330704032,25210.482899291474,22436.129275169405,27724.9532535344,25019.59718288051,21550.224401606632,28254.841054240773,200190.74626091795,170048.0061103968,229726.64913710457
30,2018-03-08,57339.88877899832,49919.05280167088,63997.88684815694,89956.17880666,72591.83621986689,105983.22547181448,24893.019942134953,22128.132778777825,27438.729488119283,24530.589104522554,21041.551195997607,28079.622761866744,196719.6766323158,165680.5729963132,225499.46456995746
31,2018-03-09,55020.44245036613,47533.88394176717,61917.9171892171,80524.12573434527,63721.64795022951,98262.99824969043,24090.437571009734,21321.480686172785,26709.369065458013,23569.31151845809,20193.692478752706,27009.123966831597,183204.31727417922,152770.70505692216,213899.40847119712
32,2018-03-10,51775.96539442019,44589.98144340417,58523.021875388135,52039.623717736526,35296.2339092639,68331.40600932087,22956.335511714038,20261.423816199393,25715.799459977407,22927.46261562541,19579.777744212184,26550.343360808314,149699.38723949617,119727.41691307965,179120.57070549473
33,2018-03-11,54736.28840649639,47677.86356880144,62063.25953429799,58378.48139950863,41354.89314250034,75352.7450926683,23562.129786331287,20876.299384314985,26121.262874280234,24243.038305210943,20769.84162689104,27583.329698035523,160919.93789754724,130678.8977225078,191120.59719928206
34,2018-03-12,59795.302835480215,52769.26157177746,67269.35139554951,100552.85017156648,83220.45709971596,117897.85547893046,25382.787089249567,22631.36792805186,28082.7092637666,25824.715345277615,22472.93520264283,29152.781139231578,211555.65544157388,181094.0218021881,242402.69727747815
35,2018-03-13,59986.64625935208,53138.659063044426,67175.05582766805,102026.07391611068,84645.57908347537,118244.18156436962,25786.05135346366,23019.777425320717,28460.821122513746,26125.610282752874,23094.39131036374,29662.355118818065,213924.38181167928,183898.40688220426,243542.41363336946
36,2018-03-14,60130.16015226139,53455.0600667422,67182.75985842053,102913.65649225036,85078.67084138923,117942.77044771916,25891.434395521646,23279.64748483827,28450.741293723695,25606.31177248282,22193.079148754085,28890.176977020266,214541.56281251623,184006.4575417238,242466.44857688365
37,2018-03-15,59519.39704635712,52599.13312806407,66755.84815742426,100576.36521621908,84178.10909592178,118475.12519764707,25561.61818938557,22937.235856489035,28370.03158940656,25136.802731815285,21681.5747901725,28540.986166446,210794.18318377706,181396.0528706474,242141.9911109239
38,2018-03-16,57151.50954611481,50128.130194260535,63608.263009787486,90738.2025755546,72013.66884610252,109039.26892404746,24738.187072550307,22054.514158891656,27333.981124465347,24188.35919194427,20868.1411097975,27367.994109778443,196816.25838616397,165064.4543090522,227349.50716807874
39,2018-03-17,53812.68572007762,47211.584403655324,60853.3354557988,61737.22274524241,44511.863784364396,78543.53356591551,23575.2998791343,20912.242587419172,26277.10397280058,23551.698363362328,20098.219230424005,27075.75463010981,162676.90670781667,132733.91000586288,192749.7276246247
40,2018-03-18,56640.269222903924,49774.08986717028,63782.45176547437,67469.10954038377,51324.54988623418,83703.15520505505,24145.206783926387,21518.824188093473,26870.784741357947,24864.151371200976,21393.59560427782,28140.25010772135,173118.73691841506,144011.05954577576,202496.64181960872
41,2018-03-19,61532.225331742506,54602.45245607936,68578.73465002922,108967.18383007022,91175.40596598909,125582.03644486723,25923.957587393805,23089.27285735428,28663.199893782203,26434.07484490735,22924.57740947296,29886.321402102883,222857.44159411392,191791.70868889568,252710.29239078154
42,2018-03-20,61527.37061784994,54195.18887219873,68340.75490677575,109716.58060036067,92842.39870046516,125678.89523033092,26280.59376585794,23681.709490482568,28981.083162426137,26714.626461805332,23086.849812954057,29938.853615691143,224239.17144587392,193806.1468761005,252939.58691522392
43,2018-03-21,61451.6808094097,54575.42461352671,68162.35120875564,109854.54996749427,92731.07146639073,126557.73358642473,26336.097319868884,23526.257727132786,28940.346825744782,26166.801437321417,22761.99127812033,29547.66460201369,223809.12953409427,193594.74508517055,253208.09622293882
44,2018-03-22,60605.61733104946,53724.067620626505,67788.66038663332,106762.9192468806,88999.83483956334,124397.58438652477,25954.745269970907,23143.75201702623,28570.896493989992,25661.346217874972,22367.369462085895,29044.038303215268,218984.62806577593,188235.02393930196,249801.17957036337
45,2018-03-23,57993.81018131339,51029.46651707312,65101.94991465271,96185.46606853181,78987.60425993107,113435.78731620495,25079.789628990206,22425.968869145952,27552.19222460368,24670.636444003772,21123.601763263294,27833.45279112532,203929.70232283918,173566.64140941342,233923.38224658664
46,2018-03-24,54414.926420254444,47609.990658647876,61141.73990067805,66478.19523860606,50154.614764037484,84875.57264300207,23867.07451299891,21244.902543495038,26598.8088656129,23986.792302158876,20640.87852856975,27517.985356525995,168746.9884740183,139650.38649475013,200134.10676581901
47,2018-03-25,57009.576153861286,50459.78176822862,64005.65030541331,71552.4500984665,53993.798054906,87560.74413935647,24390.496942892663,21934.13729584364,27147.547170049034,25248.807722195772,21717.03890891265,28875.056332916018,178201.33091741623,148104.7560278909,207588.99794773484
48,2018-03-26,61683.510750141584,54340.62671303992,68938.41447605804,112454.53812935704,95908.66154486823,129391.82925661153,26127.659842290435,23394.940836129106,28736.166383813976,26766.908907530655,23314.80025499353,30069.820473872787,227032.61762931972,196959.02934903075,257136.23059035634
49,2018-03-27,61482.95197825971,54483.81622256894,68298.65939167583,112679.62003189608,95752.53601087937,129309.06739583351,26449.01139664323,23562.540288388765,29048.42769976896,26996.268976738946,23715.50376853638,30304.90006346016,227607.85238353797,197514.39629037344,256961.05455073848
50,2018-03-28,61240.66718038333,53731.558271920105,68009.94415220877,112371.82273150324,94451.84685214191,129798.30153834846,26476.745466954464,23747.67446007227,29273.9191787809,26399.977599435068,22809.252669445497,30033.88945162764,226489.2129782761,194740.3322535798,257116.05432096578
51,2018-03-29,60263.07944766765,53671.81639347651,67467.29530171078,108916.61655232652,90986.2600378819,124131.13451936832,26076.11352288831,23403.081916677485,28944.6674001182,25850.883994661606,22482.526538038495,29287.17330235504,221106.69351754407,190543.6848860744,249830.27052355235
52,2018-03-30,57559.75714146746,50728.594424927054,64597.168218794985,98058.20661612079,81751.32942155984,115270.14313846186,25191.069331401064,22451.00765761484,27785.232161554377,24823.402605930558,21453.361666277593,28316.96645869216,205632.43569491984,176384.29317037933,235969.5099775034
53,2018-03-31,53933.11806402293,46964.123572990786,60903.48271612885,68149.9282307731,51248.50983146558,85654.9760210747,23977.859254498562,21314.31984215263,26522.548877770638,24111.55688640944,20753.972467767537,27577.300096713137,170172.46243570404,140280.92571437653,200658.30771168735
54,2018-04-01,56526.20536598513,50090.48367333556,63328.37433441117,73097.5712437047,55688.69744256479,90434.7686758863,24510.46564043276,21725.314043160764,27143.00511409405,25356.03996344097,21946.476638598062,28768.758010155754,179490.28221356357,149450.97179765918,209674.90613454726
55,2018-04-02,61245.79413473613,54454.0384015151,68334.5377702886,113939.30454945599,97909.26529993145,131237.35899786343,26266.252456863567,23677.791127289456,28829.83472869518,26868.509906768697,23326.618342578124,30452.55130178144,228319.86104782438,199367.7131713141,258854.28279862864
56,2018-04-03,61137.67044245153,53698.57216418352,68290.92819270826,114159.93920436477,97138.1271795829,130844.23080764718,26615.10766286737,23947.413009731536,29326.308163994967,27105.248472339546,23736.28663843403,30472.51481681467,229017.9657820232,198520.398991932,258933.98198116513
57,2018-04-04,61032.69983065442,54113.63233541716,67923.31394654661,113891.47766956543,97008.56012603796,130287.35398592273,26678.357022027903,23950.760262510135,29246.47929897876,26530.084087403124,23216.08031922374,29862.288531898703,228132.61860965085,198289.033043189,257319.4357633468
58,2018-04-05,60233.97478800506,53448.65490979496,67467.25341746688,110505.97491647916,92870.38480106549,125947.06866877867,26320.09950513763,23695.258719844016,29167.732215226202,26016.199058450104,22553.63007428357,29330.401764904065,223076.24826807197,192567.92850498806,251912.4560663758
